playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Justin McCrae,61,98,6.9,9.3,131.7,102,Carolina Hurricanes,Justin McCrae (F),2007,0,https://www.eliteprospects.com/player/12536/justin-mccrae,-,-,1988-10-30,"6'1""",84 kg / 185,"Cochrane, AB, CAN",Canada,R,2007 round 4 #102 overall by Carolina Hurricanes,Cochrane, ,18.7
Justin Schultz,57,28,3.2,4.6,40.3,43,Anaheim Ducks,Justin Schultz (D),2008,1,https://www.eliteprospects.com/player/18241/justin-schultz,Seattle Kraken,Signed,1990-07-06,"6'2""",88 kg / 194,"Kelowna, BC, CAN",Canada,R,2008 round 2 #43 overall by Anaheim Ducks,Kelowna, ,17.0
Justin Sefton,66,124,1.6,2.0,154.1,89,San Jose Sharks,Justin Sefton (D),2011,1,https://www.eliteprospects.com/player/45548/justin-sefton,-,-,1993-04-14,"6'3""",103 kg / 227,"Thunder Bay, ON, CAN",Canada,R,2011 round 3 #89 overall by San Jose Sharks,Thunder Bay, ,14.2
Justin Shugg,67,43,11.4,14.0,52.6,105,Carolina Hurricanes,Justin Shugg (F),2010,0,https://www.eliteprospects.com/player/13670/justin-shugg,-,-,1991-12-24,"5'11""",84 kg / 185,"Niagara Falls, ON, CAN",Canada,R,2010 round 4 #105 overall by Carolina Hurricanes,Niagara Falls, ,15.5
Justin Taylor,68,54,4.4,5.3,65.1,180,Washington Capitals,Justin Taylor (F),2007,0,https://www.eliteprospects.com/player/14011/justin-taylor,-,-,1989-02-08,"5'11""",82 kg / 181,"Mindemoya, ON, CAN",Canada,L,2007 round 6 #180 overall by Washington Capitals,Mindemoya, ,18.4
Justin Vaive,56,71,2.3,3.4,104.0,92,Anaheim Ducks,Justin Vaive (F),2007,0,https://www.eliteprospects.com/player/11468/justin-vaive,-,-,1989-07-08,"6'6""",108 kg / 238,"Buffalo, NY, USA",USA,L,2007 round 4 #92 overall by Anaheim Ducks,Buffalo, ,18.0
Justin Weller,32,30,0.6,1.5,76.9,105,Phoenix Coyotes,Justin Weller (D),2009,1,https://www.eliteprospects.com/player/24531/justin-weller,-,-,1991-07-26,"6'2""",86 kg / 190,"Daysland, AB, CAN",Canada,R,2009 round 4 #105 overall by Phoenix Coyotes,Daysland, ,15.9
Jyri Niemi,49,57,4.8,8.0,95.4,72,New York Islanders,Jyri Niemi (D),2008,1,https://www.eliteprospects.com/player/12570/jyri-niemi,-,-,1990-06-15,"6'2""",94 kg / 207,"Hämeenkyrö, FIN",Finland,L,2008 round 3 #72 overall by New York Islanders,Hämeenkyrö, ,17.0
Jyrki Jokipakka,81,44,5.3,5.4,44.5,195,Dallas Stars,Jyrki Jokipakka (D),2011,1,https://www.eliteprospects.com/player/25488/jyrki-jokipakka,-,-,1991-08-20,"6'3""",94 kg / 207,"Tampere, FIN",Finland,L,2011 round 7 #195 overall by Dallas Stars,Tampere, ,15.9
Jérémie Blain,64,72,4.3,5.5,92.2,91,Edmonton Oilers,Jérémie Blain (D),2010,1,https://www.eliteprospects.com/player/37074/jeremie-blain,-,-,1992-03-19,"6'3""",88 kg / 194,"Lemoyne, QC, CAN",Canada,R,2010 round 4 #91 overall by Edmonton Oilers,Lemoyne, ,15.3
Jérémy Grégoire,62,100,3.5999999999999996,4.8,132.3,176,Montréal Canadiens,Jérémy Grégoire (F),2013,0,https://www.eliteprospects.com/player/98666/jeremy-gregoire,-,-,1995-09-05,"6'0""",88 kg / 194,"Sherbrooke, QC, CAN",Canada,R,2013 round 6 #176 overall by Montréal Canadiens,Sherbrooke, ,11.8
Jérémy Lauzon,60,88,4.1,5.6,120.3,52,Boston Bruins,Jérémy Lauzon (D),2015,1,https://www.eliteprospects.com/player/213715/jeremy-lauzon,Nashville Predators,Signed,1997-04-28,"6'1""",93 kg / 205,"Val-d'Or, QC, CAN",Canada,L,2015 round 2 #52 overall by Boston Bruins,Val-d'Or, ,10.2
Jérémy Roy,53,39,5.4,8.4,60.3,31,San Jose Sharks,Jérémy Roy (D),2015,1,https://www.eliteprospects.com/player/151150/jeremy-roy,-,-,1997-05-14,"6'0""",88 kg / 194,"Richelieu, QC, CAN",Canada,R,2015 round 2 #31 overall by San Jose Sharks,Richelieu, ,10.1
Jérôme Leduc,68,16,5.2,6.3,19.3,68,Buffalo Sabres,Jérôme Leduc (D),2010,1,https://www.eliteprospects.com/player/37441/jerome-leduc,-,-,1992-07-30,"6'1""",88 kg / 194,"Québec, QC, CAN",Canada,R,2010 round 3 #68 overall by Buffalo Sabres,Québec, ,14.9
Kale Kessy,65,129,3.4,4.3,162.7,111,Phoenix Coyotes,Kale Kessy (F),2011,0,https://www.eliteprospects.com/player/26412/kale-kessy,-,-,1992-12-04,"6'3""",96 kg / 212,"Shaunavon, SK, CAN",Canada,L,2011 round 4 #111 overall by Phoenix Coyotes,Shaunavon, ,14.6
Karch Bachman,34,10,1.2,2.9,24.1,132,Florida Panthers,Karch Bachman (F),2015,0,https://www.eliteprospects.com/player/245262/karch-bachman,-,-,1997-03-10,"5'11""",79 kg / 174,"Wolcottville, IN, USA",USA,L,2015 round 5 #132 overall by Florida Panthers,Wolcottville, ,10.3
Karl Alzner,69,34,6.8999999999999995,8.2,40.4,5,Washington Capitals,Karl Alzner (D),2007,1,https://www.eliteprospects.com/player/10429/karl-alzner,-,-,1988-09-24,"6'3""",97 kg / 214,"Burnaby, BC, CAN",Canada,L,2007 round 1 #5 overall by Washington Capitals,Burnaby, ,18.8
Karlis Cukste,88,68,2.9,2.7,63.4,130,San Jose Sharks,Karlis Cukste (D),2015,1,https://www.eliteprospects.com/player/214273/karlis-cukste,-,-,1997-06-17,"6'4""",100 kg / 220,"Riga, LAT",Latvia,L,2015 round 5 #130 overall by San Jose Sharks,Riga, ,10.0
Kasperi Kapanen,64,10,6.7,8.6,12.8,22,Pittsburgh Penguins,Kasperi Kapanen (F),2014,0,https://www.eliteprospects.com/player/92226/kasperi-kapanen,Pittsburgh Penguins,Signed,1996-07-23,"6'1""",88 kg / 194,"Kuopio, FIN",Finland,R,2014 round 1 #22 overall by Pittsburgh Penguins,Kuopio, ,10.9
Keaton Ellerby,69,120,3.5,4.2,142.6,10,Florida Panthers,Keaton Ellerby (D),2007,1,https://www.eliteprospects.com/player/9333/keaton-ellerby,-,-,1988-11-05,"6'5""",98 kg / 216,"Priddis, AB, CAN",Canada,L,2007 round 1 #10 overall by Florida Panthers,Priddis, ,18.7
Keaton Thompson,100,60,3.9000000000000004,3.2,49.2,87,Anaheim Ducks,Keaton Thompson (D),2013,1,https://www.eliteprospects.com/player/108393/keaton-thompson,-,-,1995-09-14,"6'0""",89 kg / 196,"Devils Lake, ND, USA",USA,L,2013 round 3 #87 overall by Anaheim Ducks,Devils Lake, ,11.8
Keegan Iverson,67,70,5.9,7.2,85.7,85,New York Rangers,Keegan Iverson (F),2014,0,https://www.eliteprospects.com/player/185603/keegan-iverson,-,-,1996-04-05,"6'2""",97 kg / 214,"Minneapolis, MN, USA",USA,R,2014 round 3 #85 overall by New York Rangers,Minneapolis, ,11.2
Keegan Kanzig,70,159,1.0,1.2,186.3,67,Calgary Flames,Keegan Kanzig (D),2013,1,https://www.eliteprospects.com/player/63193/keegan-kanzig,-,-,1995-02-26,"6'7""",112 kg / 247,"Athabasca, AB, CAN",Canada,L,2013 round 3 #67 overall by Calgary Flames,Athabasca, ,12.3
Keegan Kolesar,64,85,5.4,6.9,108.9,69,Columbus Blue Jackets,Keegan Kolesar (F),2015,0,https://www.eliteprospects.com/player/197560/keegan-kolesar,Vegas Golden Knights,Signed,1997-04-08,"6'2""",103 kg / 227,"Brandon, MB, CAN",Canada,R,2015 round 3 #69 overall by Columbus Blue Jackets,Brandon, ,10.2
Keegan Lowe,71,123,3.4,3.9,142.1,73,Carolina Hurricanes,Keegan Lowe (D),2011,1,https://www.eliteprospects.com/player/45485/keegan-lowe,-,-,1993-03-29,"6'2""",87 kg / 192,"Greenwich, CT, USA",Canada,L,2011 round 3 #73 overall by Carolina Hurricanes,Greenwich, ,14.3
Keith Aulie,66,82,1.3,1.6,101.9,116,Calgary Flames,Keith Aulie (D),2007,1,https://www.eliteprospects.com/player/12561/keith-aulie,-,-,1989-06-11,"6'6""",105 kg / 231,"Rouleau, SK, CAN",Canada,L,2007 round 4 #116 overall by Calgary Flames,Rouleau, ,18.1
Kellen Jones,41,18,4.2,8.4,36.0,202,Edmonton Oilers,Kellen Jones (F),2010,0,https://www.eliteprospects.com/player/38013/kellen-jones,-,-,1990-08-16,"5'10""",84 kg / 185,"Montrose, BC, CAN",Canada,L,2010 round 7 #202 overall by Edmonton Oilers,Montrose, ,16.9
Kelly Summers,56,12,2.9,4.2,17.6,189,Ottawa Senators,Kelly Summers (D),2014,1,https://www.eliteprospects.com/player/152175/kelly-summers,-,-,1996-04-29,"6'1""",89 kg / 196,"Golden Lake, ON, CAN",Canada,R,2014 round 7 #189 overall by Ottawa Senators,Golden Lake, ,11.2
Kelsey Tessier,68,73,9.2,11.1,88.0,110,Colorado Avalanche,Kelsey Tessier (F),2008,0,https://www.eliteprospects.com/player/13497/kelsey-tessier,-,-,1990-01-16,"5'9""",81 kg / 179,"Fredericton, NB, CAN",Canada,R,2008 round 4 #110 overall by Colorado Avalanche,Fredericton, ,17.5
Kendall McFaull,62,70,1.4,1.9,92.6,155,Atlanta Thrashers,Kendall McFaull (D),2010,1,https://www.eliteprospects.com/player/45511/kendall-mcfaull,-,-,1992-04-10,"6'3""",95 kg / 209,"Rosetown, SK, CAN",Canada,R,2010 round 6 #155 overall by Atlanta Thrashers,Rosetown, ,15.2
Kenneth Ryan,69,56,6.2,7.4,66.6,50,Toronto Maple Leafs,Kenneth Ryan (F),2009,0,https://www.eliteprospects.com/player/31278/kenneth-ryan,-,-,1991-07-10,"6'0""",93 kg / 205,"Franklin, MI, USA",USA,R,2009 round 2 #50 overall by Toronto Maple Leafs,Franklin, ,16.0
Kenny Agostino,43,58,3.6999999999999997,7.1,110.6,140,Pittsburgh Penguins,Kenny Agostino (F),2010,0,https://www.eliteprospects.com/player/75015/kenny-agostino,-,-,1992-04-30,"6'0""",90 kg / 198,"Morristown, NJ, USA",USA,L,2010 round 5 #140 overall by Pittsburgh Penguins,Morristown, ,15.2
Kenton Helgesen,58,63,2.0,2.8,89.1,187,Anaheim Ducks,Kenton Helgesen (D),2012,1,https://www.eliteprospects.com/player/49967/kenton-helgesen,-,-,1994-03-19,"6'3""",88 kg / 194,"Fairview, AB, CAN",Canada,L,2012 round 7 #187 overall by Anaheim Ducks,Fairview, ,13.3
Kerby Rychel,68,94,12.5,15.1,113.4,19,Columbus Blue Jackets,Kerby Rychel (F),2013,0,https://www.eliteprospects.com/player/82918/kerby-rychel,-,-,1994-10-07,"6'1""",96 kg / 212,"Torrance, CA, USA",Canada,L,2013 round 1 #19 overall by Columbus Blue Jackets,Torrance, ,12.7
Keven Veilleux,72,53,6.3,7.2,60.4,51,Pittsburgh Penguins,Keven Veilleux (F),2007,0,https://www.eliteprospects.com/player/11402/keven-veilleux,-,-,1989-06-27,"6'5""",97 kg / 214,"Saint-René, QC, CAN",Canada,R,2007 round 2 #51 overall by Pittsburgh Penguins,Saint-René, ,18.0
Kevin Connauton,40,44,3.5,7.2,90.2,83,Vancouver Canucks,Kevin Connauton (D),2009,1,https://www.eliteprospects.com/player/38032/kevin-connauton,Philadelphia Flyers,Signed,1990-02-23,"6'2""",93 kg / 205,"Edmonton, AB, CAN",Canada,L,2009 round 3 #83 overall by Vancouver Canucks,Edmonton, ,17.3
Kevin Elgestål,83,106,4.7,4.6,104.7,194,Washington Capitals,Kevin Elgestål (F),2014,0,https://www.eliteprospects.com/player/146825/kevin-elgestal,-,-,1996-05-29,"6'1""",90 kg / 198,"Göteborg, SWE",Sweden,R,2014 round 7 #194 overall by Washington Capitals,Göteborg, ,11.1
Kevin Fiala,91,100,11.0,9.9,90.1,11,Nashville Predators,Kevin Fiala (F),2014,0,https://www.eliteprospects.com/player/87971/kevin-fiala,Los Angeles Kings,Signed,1996-07-22,"5'10""",93 kg / 205,"St. Gallen, SUI",Switzerland,L,2014 round 1 #11 overall by Nashville Predators,St. Gallen, ,10.9
Kevin Gravel,53,36,0.9,1.4,55.7,148,Los Angeles Kings,Kevin Gravel (D),2010,1,https://www.eliteprospects.com/player/35674/kevin-gravel,Nashville Predators,Signed,1992-03-06,"6'4""",93 kg / 205,"Kingsford, MI, USA",USA,L,2010 round 5 #148 overall by Los Angeles Kings,Kingsford, ,15.3
Kevin Hayes,31,8,2.1,5.6,21.2,24,Chicago Blackhawks,Kevin Hayes (F),2010,0,https://www.eliteprospects.com/player/40243/kevin-hayes,Philadelphia Flyers,Signed,1992-05-08,"6'5""",98 kg / 216,"Dorchester, MA, USA",USA,L,2010 round 1 #24 overall by Chicago Blackhawks,Dorchester, ,15.1
Kevin Labanc,65,30,5.0,6.3,37.8,171,San Jose Sharks,Kevin Labanc (F),2014,0,https://www.eliteprospects.com/player/133841/kevin-labanc,San Jose Sharks,Signed,1995-12-12,"5'11""",84 kg / 185,"Staten Island, NY, USA",USA,R,2014 round 6 #171 overall by San Jose Sharks,Staten Island, ,11.6
Kevin Lind,55,76,2.3,3.4,113.3,177,Anaheim Ducks,Kevin Lind (D),2010,1,https://www.eliteprospects.com/player/37830/kevin-lind,-,-,1992-03-31,"6'3""",100 kg / 220,"Homer Glen, IL, USA",USA,L,2010 round 6 #177 overall by Anaheim Ducks,Homer Glen, ,15.2
Kevin Lynch,70,60,6.6,7.7,70.3,56,Columbus Blue Jackets,Kevin Lynch (F),2009,0,https://www.eliteprospects.com/player/31276/kevin-lynch,-,-,1991-04-23,"6'1""",86 kg / 190,"Grosse Pointe, MI, USA",USA,R,2009 round 2 #56 overall by Columbus Blue Jackets,Grosse Pointe, ,16.2
Kevin Marshall,70,141,3.6,4.2,165.2,41,Philadelphia Flyers,Kevin Marshall (D),2007,1,https://www.eliteprospects.com/player/12508/kevin-marshall,-,-,1989-03-10,"6'1""",91 kg / 201,"Boucherville, QC, CAN",Canada,L,2007 round 2 #41 overall by Philadelphia Flyers,Boucherville, ,18.3
Kevin Roy,59,50,14.9,20.7,69.5,97,Anaheim Ducks,Kevin Roy (F),2012,0,https://www.eliteprospects.com/player/121841/kevin-roy,-,-,1993-05-20,"5'9""",78 kg / 172,"Greenfield Park, QC, CAN",Canada,L,2012 round 4 #97 overall by Anaheim Ducks,Greenfield Park, ,14.1
Kevin Shattenkirk,64,64,5.1,6.5,82.0,14,Colorado Avalanche,Kevin Shattenkirk (D),2007,1,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,Anaheim Ducks,Signed,1989-01-29,"6'0""",94 kg / 207,"New Rochelle, NY, USA",USA,R,2007 round 1 #14 overall by Colorado Avalanche,New Rochelle, ,18.4
Kevin Stenlund,57,18,3.9,5.6,25.9,58,Columbus Blue Jackets,Kevin Stenlund (F),2015,0,https://www.eliteprospects.com/player/142262/kevin-stenlund,Winnipeg Jets,Signed,1996-09-20,"6'4""",98 kg / 216,"Stockholm, SWE",Sweden,R,2015 round 2 #58 overall by Columbus Blue Jackets,Stockholm, ,10.8
Kevin Sundher,72,101,8.6,9.8,115.0,75,Buffalo Sabres,Kevin Sundher (F),2010,0,https://www.eliteprospects.com/player/31085/kevin-sundher,-,-,1992-01-18,"6'0""",81 kg / 179,"Surrey, BC, CAN",Canada,L,2010 round 3 #75 overall by Buffalo Sabres,Surrey, ,15.4
Kirill Gotovets,58,72,0.9,1.3,101.8,183,Tampa Bay Lightning,Kirill Gotovets (D),2009,1,https://www.eliteprospects.com/player/17654/kirill-gotovets,-,-,1991-06-25,"5'11""",91 kg / 201,"Minsk, BLR",Belarus,L,2009 round 7 #183 overall by Tampa Bay Lightning,Minsk, ,16.0
Kirill Kabanov,22,34,2.6,9.7,126.7,65,New York Islanders,Kirill Kabanov (F),2010,0,https://www.eliteprospects.com/player/19427/kirill-kabanov,-,-,1992-07-16,"6'2""",92 kg / 203,"Moskva, RUS",Russia,R,2010 round 3 #65 overall by New York Islanders,Moskva, ,15.0
Kirill Kaprizov,51,14,7.0,11.3,22.5,135,Minnesota Wild,Kirill Kaprizov (F),2015,0,https://www.eliteprospects.com/player/265645/kirill-kaprizov,Minnesota Wild,Signed,1997-04-26,"5'10""",92 kg / 203,"Novokuznetsk, RUS",Russia,L,2015 round 5 #135 overall by Minnesota Wild,Novokuznetsk, ,10.2
Kirill Petrov,54,60,8.700000000000001,13.2,91.1,73,New York Islanders,Kirill Petrov (F),2008,0,https://www.eliteprospects.com/player/11870/kirill-petrov,-,-,1990-04-13,"6'3""",106 kg / 234,"Kazan, RUS",Russia,L,2008 round 3 #73 overall by New York Islanders,Kazan, ,17.2
Klas Dahlbeck,68,18,5.0,6.0,21.7,79,Chicago Blackhawks,Klas Dahlbeck (D),2011,1,https://www.eliteprospects.com/player/13266/klas-dahlbeck,-,-,1991-07-06,"6'3""",93 kg / 205,"Katrineholm, SWE",Sweden,L,2011 round 3 #79 overall by Chicago Blackhawks,Katrineholm, ,16.0
Konrad Abeltshauser,70,50,2.8,3.3,58.6,163,San Jose Sharks,Konrad Abeltshauser (D),2010,1,https://www.eliteprospects.com/player/34836/konrad-abeltshauser,-,-,1992-09-02,"6'5""",107 kg / 236,"Bad Tölz, GER",Germany,L,2010 round 6 #163 overall by San Jose Sharks,Bad Tölz, ,14.8
Kory Nagy,57,47,2.4,3.5,67.6,142,New Jersey Devils,Kory Nagy (F),2008,0,https://www.eliteprospects.com/player/19224/kory-nagy,-,-,1989-10-12,"5'10""",88 kg / 194,"Walsingham, ON, CAN",Canada,L,2008 round 5 #142 overall by New Jersey Devils,Walsingham, ,17.7
Kris Foucault,58,100,4.9,6.9,141.4,103,Minnesota Wild,Kris Foucault (F),2009,0,https://www.eliteprospects.com/player/32805/kris-foucault,-,-,1990-12-12,"6'1""",92 kg / 203,"Calgary, AB, CAN",Canada,L,2009 round 4 #103 overall by Minnesota Wild,Calgary, ,16.6
Kristians Pelss,52,28,2.6,4.1,44.2,181,Edmonton Oilers,Kristians Pelss (F),2010,0,https://www.eliteprospects.com/player/34663/kristians-pelss,-,-,1992-09-09,"5'11""",87 kg / 192,"Preili, LAT",Latvia,L,2010 round 7 #181 overall by Edmonton Oilers,Preili, ,14.8
Kristofer Berglund,70,46,9.100000000000001,10.7,53.9,125,St. Louis Blues,Kristofer Berglund (D),2008,1,https://www.eliteprospects.com/player/3705/kristofer-berglund,-,-,1988-08-12,"5'10""",82 kg / 181,"Umeå, SWE",Sweden,L,2008 round 5 #125 overall by St. Louis Blues,Umeå, ,18.9
Kurtis Gabriel,67,100,4.0,4.9,122.4,81,Minnesota Wild,Kurtis Gabriel (F),2013,0,https://www.eliteprospects.com/player/92683/kurtis-gabriel,-,-,1993-04-20,"6'4""",96 kg / 212,"Newmarket, ON, CAN",Canada,R,2013 round 3 #81 overall by Minnesota Wild,Newmarket, ,14.2
Kyle Beach,60,222,8.5,11.6,303.4,11,Chicago Blackhawks,Kyle Beach (F),2008,0,https://www.eliteprospects.com/player/11054/kyle-beach,-,-,1990-01-13,"6'3""",94 kg / 207,"North Vancouver, BC, CAN",Canada,R,2008 round 1 #11 overall by Chicago Blackhawks,North Vancouver, ,17.5
Kyle Bigos,57,126,2.6,3.7,181.3,99,Edmonton Oilers,Kyle Bigos (D),2009,1,https://www.eliteprospects.com/player/38020/kyle-bigos,-,-,1989-05-12,"6'4""",107 kg / 236,"Upland, CA, USA",USA,R,2009 round 4 #99 overall by Edmonton Oilers,Upland, ,18.1
Kyle Burroughs,70,91,4.7,5.5,106.6,196,New York Islanders,Kyle Burroughs (D),2013,1,https://www.eliteprospects.com/player/87758/kyle-burroughs,Vancouver Canucks,Signed,1995-07-12,"6'0""",88 kg / 194,"Vancouver, BC, CAN",Canada,R,2013 round 7 #196 overall by New York Islanders,Vancouver, ,12.0
Kyle Capobianco,75,56,6.1,6.7,61.2,63,Arizona Coyotes,Kyle Capobianco (D),2015,1,https://www.eliteprospects.com/player/225186/kyle-capobianco,Winnipeg Jets,Signed,1997-08-13,"6'1""",89 kg / 196,"Mississauga, ON, CAN",Canada,L,2015 round 3 #63 overall by Arizona Coyotes,Mississauga, ,9.9
Kyle Clifford,66,149,4.0,5.0,185.1,35,Los Angeles Kings,Kyle Clifford (F),2009,0,https://www.eliteprospects.com/player/15480/kyle-clifford,Toronto Maple Leafs,Signed,1991-01-13,"6'2""",96 kg / 212,"Kitchener, ON, CAN",Canada,L,2009 round 2 #35 overall by Los Angeles Kings,Kitchener, ,16.5
Kyle Connor,56,6,11.4,16.7,8.8,17,Winnipeg Jets,Kyle Connor (F),2015,0,https://www.eliteprospects.com/player/177671/kyle-connor,Winnipeg Jets,Signed,1996-12-09,"6'1""",83 kg / 183,"Clinton Township, MI, USA",USA,L,2015 round 1 #17 overall by Winnipeg Jets,Clinton Township, ,10.6
Kyle DeCoste,66,48,3.2,4.0,59.6,147,Tampa Bay Lightning,Kyle DeCoste (F),2008,0,https://www.eliteprospects.com/player/19070/kyle-decoste,-,-,1990-06-30,"6'1""",80 kg / 176,"London, ON, CAN",Canada,R,2008 round 5 #147 overall by Tampa Bay Lightning,London, ,17.0
Kyle Jenkins,63,28,3.6,4.7,36.4,187,Carolina Hurricanes,Kyle Jenkins (D),2014,1,https://www.eliteprospects.com/player/205495/kyle-jenkins,-,-,1996-04-22,"6'1""",84 kg / 185,"Brampton, ON, CAN",Canada,L,2014 round 7 #187 overall by Carolina Hurricanes,Brampton, ,11.2
Kyle Neuber,59,135,1.7,2.4,187.6,197,Columbus Blue Jackets,Kyle Neuber (F),2009,0,https://www.eliteprospects.com/player/23046/kyle-neuber,-,-,1989-03-22,"6'1""",102 kg / 225,"London, ON, CAN",Canada,R,2009 round 7 #197 overall by Columbus Blue Jackets,London, ,18.3
Kyle Palmieri,33,51,3.6,8.9,126.7,26,Anaheim Ducks,Kyle Palmieri (F),2009,0,https://www.eliteprospects.com/player/17508/kyle-palmieri,New York Islanders,Signed,1991-02-01,"5'11""",84 kg / 185,"Smithtown, NY, USA",USA,R,2009 round 1 #26 overall by Anaheim Ducks,Smithtown, ,16.4
Kyle Pettit,53,24,1.4,2.2,37.1,156,Vancouver Canucks,Kyle Pettit (F),2014,0,https://www.eliteprospects.com/player/204921/kyle-pettit,-,-,1996-01-19,"6'4""",91 kg / 201,"Komoka, ON, CAN",Canada,L,2014 round 6 #156 overall by Vancouver Canucks,Komoka, ,11.4
Kyle Platzer,65,15,3.2,4.0,18.9,96,Edmonton Oilers,Kyle Platzer (F),2013,0,https://www.eliteprospects.com/player/126916/kyle-platzer,-,-,1995-03-04,"5'11""",80 kg / 176,"Waterloo, ON, CAN",Canada,R,2013 round 4 #96 overall by Edmonton Oilers,Waterloo, ,12.3
Kyle Rau,55,37,3.6999999999999997,5.5,55.2,91,Florida Panthers,Kyle Rau (F),2011,0,https://www.eliteprospects.com/player/75072/kyle-rau,-,-,1992-10-24,"5'9""",78 kg / 172,"Eden Prairie, MN, USA",USA,L,2011 round 3 #91 overall by Florida Panthers,Eden Prairie, ,14.7
Kyle Schempp,43,12,4.9,9.3,22.9,155,New York Islanders,Kyle Schempp (F),2014,0,https://www.eliteprospects.com/player/121949/kyle-schempp,-,-,1994-01-13,"5'11""",83 kg / 183,"Saginaw, MI, USA",USA,L,2014 round 6 #155 overall by New York Islanders,Saginaw, ,13.5
Kyle Turris,59,85,10.399999999999999,14.5,118.1,3,Phoenix Coyotes,Kyle Turris (F),2007,0,https://www.eliteprospects.com/player/11345/kyle-turris,-,-,1989-08-14,"6'1""",86 kg / 190,"New Westminster, BC, CAN",Canada,R,2007 round 1 #3 overall by Phoenix Coyotes,New Westminster, ,17.9
Kyle Wood,33,21,1.7,4.2,52.2,84,Colorado Avalanche,Kyle Wood (D),2014,1,https://www.eliteprospects.com/player/189639/kyle-wood,-,-,1996-05-04,"6'7""",101 kg / 223,"Waterloo, ON, CAN",Canada,R,2014 round 3 #84 overall by Colorado Avalanche,Waterloo, ,11.2
Lance Bouma,71,93,4.9,5.7,107.4,78,Calgary Flames,Lance Bouma (F),2008,0,https://www.eliteprospects.com/player/16499/lance-bouma,-,-,1990-03-25,"6'2""",94 kg / 207,"Provost, AB, CAN",Canada,L,2008 round 3 #78 overall by Calgary Flames,Provost, ,17.3
Landon Ferraro,73,101,8.3,9.3,113.5,32,Detroit Red Wings,Landon Ferraro (F),2009,0,https://www.eliteprospects.com/player/13934/landon-ferraro,-,-,1991-08-08,"6'0""",80 kg / 176,"Trail, BC, CAN",Canada,R,2009 round 2 #32 overall by Detroit Red Wings,Trail, ,15.9
Lane MacDermid,64,197,5.0,6.4,252.4,112,Boston Bruins,Lane MacDermid (F),2009,0,https://www.eliteprospects.com/player/23003/lane-macdermid,-,-,1989-08-25,"6'3""",92 kg / 203,"Hartford, CT, USA",Canada,L,2009 round 4 #112 overall by Boston Bruins,Hartford, ,17.8
Lars Eller,53,92,5.4,8.4,142.3,13,St. Louis Blues,Lars Eller (F),2007,0,https://www.eliteprospects.com/player/5995/lars-eller,Washington Capitals,Signed,1989-05-08,"6'1""",94 kg / 207,"Rødovre, DEN",Denmark,L,2007 round 1 #13 overall by St. Louis Blues,Rødovre, ,18.1
Laurent Dauphin,69,56,7.2,8.6,66.6,39,Phoenix Coyotes,Laurent Dauphin (F),2013,0,https://www.eliteprospects.com/player/126400/laurent-dauphin,Arizona Coyotes,Signed,1995-03-27,"6'0""",84 kg / 185,"Repentigny, QC, CAN",Canada,L,2013 round 2 #39 overall by Phoenix Coyotes,Repentigny, ,12.3
